id,source,contract_id,ordered_at,planned_arrival_at,actual_arrival_at,planned_t,actual_share,gross_t,role
A-2036-11,A,A-2036,1825/6,4015/6,4015/6,12.53768944601508282865314428,1,12.53768944601508282865314428,planned
A-2036-12,A,A-2036,4015/12,8395/12,8395/12,12.5376894460150828286531443,1,12.5376894460150828286531443,planned
A-2037-01,A,A-2037,365,730,730,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-02,A,A-2037,4745/12,9125/12,9125/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-03,A,A-2037,2555/6,4745/6,4745/6,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-04,A,A-2037,1825/4,3285/4,3285/4,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-05,A,A-2037,1460/3,2555/3,2555/3,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-06,A,A-2037,6205/12,10585/12,10585/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-07,A,A-2037,1095/2,1825/2,1825/2,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-08,A,A-2037,6935/12,11315/12,11315/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-09,A,A-2037,1825/3,2920/3,2920/3,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-10,A,A-2037,2555/4,4015/4,4015/4,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-11,A,A-2037,4015/6,6205/6,6205/6,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-12,A,A-2037,8395/12,12775/12,12775/12,15.8333333333333333333333335,1,15.8333333333333333333333335,planned
B-2037-01,B,B-2037,1825/3,730,730,1.206186567578060007764405752,1,1.206186567578060007764405752,planned
B-2037-02,B,B-2037,2555/4,9125/12,9125/12,1.206186567578060007764405752,1,1.206186567578060007764405752,planned
B-2037-03,B,B-2037,4015/6,4745/6,4745/6,1.206186567578060007764405752,1,1.206186567578060007764405752,planned
B-2037-04,B,B-2037,8395/12,3285/4,3285/4,1.206186567578060007764405752,1,1.206186567578060007764405752,planned
B-2037-05,B,B-2037,730,2555/3,2555/3,1.206186567578060007764405752,1,1.206186567578060007764405752,planned
B-2037-06,B,B-2037,9125/12,10585/12,10585/12,1.206186567578060007764405752,1,1.206186567578060007764405752,planned
B-2037-07,B,B-2037,4745/6,1825/2,1825/2,1.206186567578060007764405752,1,1.206186567578060007764405752,planned
B-2037-08,B,B-2037,3285/4,11315/12,11315/12,1.206186567578060007764405752,1,1.206186567578060007764405752,planned
B-2037-09,B,B-2037,2555/3,2920/3,2920/3,1.206186567578060007764405752,1,1.206186567578060007764405752,planned
B-2037-10,B,B-2037,10585/12,4015/4,4015/4,1.206186567578060007764405752,1,1.206186567578060007764405752,planned
B-2037-11,B,B-2037,1825/2,6205/6,6205/6,1.206186567578060007764405752,1,1.206186567578060007764405752,planned
B-2037-12,B,B-2037,11315/12,12775/12,12775/12,1.20618656757806000776440576,1,1.20618656757806000776440576,planned
A-2038-01,A,A-2038,730,1095,1095,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-02,A,A-2038,9125/12,13505/12,13505/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-03,A,A-2038,4745/6,6935/6,6935/6,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-04,A,A-2038,3285/4,4745/4,4745/4,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-05,A,A-2038,2555/3,3650/3,3650/3,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-06,A,A-2038,10585/12,14965/12,14965/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-07,A,A-2038,1825/2,2555/2,2555/2,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-08,A,A-2038,11315/12,15695/12,15695/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-09,A,A-2038,2920/3,4015/3,4015/3,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-10,A,A-2038,4015/4,5475/4,5475/4,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-11,A,A-2038,6205/6,8395/6,8395/6,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2038-12,A,A-2038,12775/12,17155/12,17155/12,15.8333333333333333333333335,1,15.8333333333333333333333335,planned
C-2038-01,C,C-2038,1095,3650/3,3650/3,9.135204647551439188064999165,1,9.135204647551439188064999165,planned
C-2038-02,C,C-2038,13505/12,14965/12,14965/12,9.135204647551439188064999165,1,9.135204647551439188064999165,planned
C-2038-03,C,C-2038,6935/6,2555/2,2555/2,9.135204647551439188064999165,1,9.135204647551439188064999165,planned
C-2038-04,C,C-2038,4745/4,15695/12,15695/12,9.135204647551439188064999165,1,9.135204647551439188064999165,planned
C-2038-05,C,C-2038,3650/3,4015/3,4015/3,9.135204647551439188064999165,1,9.135204647551439188064999165,planned
C-2038-06,C,C-2038,14965/12,5475/4,5475/4,9.135204647551439188064999165,1,9.135204647551439188064999165,planned
C-2038-07,C,C-2038,2555/2,8395/6,8395/6,9.135204647551439188064999165,1,9.135204647551439188064999165,planned
C-2038-08,C,C-2038,15695/12,17155/12,17155/12,9.13520464755143918806499918,1,9.13520464755143918806499918,planned
A-2039-01,A,A-2039,1095,1460,1460,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-02,A,A-2039,13505/12,17885/12,17885/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-03,A,A-2039,6935/6,9125/6,9125/6,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-04,A,A-2039,4745/4,6205/4,6205/4,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-05,A,A-2039,3650/3,4745/3,4745/3,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-06,A,A-2039,14965/12,19345/12,19345/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-07,A,A-2039,2555/2,3285/2,3285/2,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-08,A,A-2039,15695/12,20075/12,20075/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-09,A,A-2039,4015/3,5110/3,5110/3,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-10,A,A-2039,5475/4,6935/4,6935/4,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-11,A,A-2039,8395/6,10585/6,10585/6,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-12,A,A-2039,17155/12,21535/12,21535/12,15.8333333333333333333333335,1,15.8333333333333333333333335,planned
C-2039-01,C,C-2039,4015/3,1460,1460,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-02,C,C-2039,5475/4,17885/12,17885/12,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-03,C,C-2039,8395/6,9125/6,9125/6,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-04,C,C-2039,17155/12,6205/4,6205/4,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-05,C,C-2039,1460,4745/3,4745/3,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-06,C,C-2039,17885/12,19345/12,19345/12,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-07,C,C-2039,9125/6,3285/2,3285/2,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-08,C,C-2039,6205/4,20075/12,20075/12,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-09,C,C-2039,4745/3,5110/3,5110/3,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-10,C,C-2039,19345/12,6935/4,6935/4,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-11,C,C-2039,3285/2,10585/6,10585/6,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-12,C,C-2039,20075/12,21535/12,21535/12,10.8333333333333333333333334,1,10.8333333333333333333333334,planned
B-2039-01,B,B-2039,4015/3,1460,1460,1.160986634130109256280849646,1,1.160986634130109256280849646,planned
B-2039-02,B,B-2039,5475/4,17885/12,17885/12,1.160986634130109256280849646,1,1.160986634130109256280849646,planned
B-2039-03,B,B-2039,8395/6,9125/6,9125/6,1.160986634130109256280849646,1,1.160986634130109256280849646,planned
B-2039-04,B,B-2039,17155/12,6205/4,6205/4,1.160986634130109256280849646,1,1.160986634130109256280849646,planned
B-2039-05,B,B-2039,1460,4745/3,4745/3,1.160986634130109256280849646,1,1.160986634130109256280849646,planned
B-2039-06,B,B-2039,17885/12,19345/12,19345/12,1.160986634130109256280849646,1,1.160986634130109256280849646,planned
B-2039-07,B,B-2039,9125/6,3285/2,3285/2,1.160986634130109256280849646,1,1.160986634130109256280849646,planned
B-2039-08,B,B-2039,6205/4,20075/12,20075/12,1.160986634130109256280849646,1,1.160986634130109256280849646,planned
B-2039-09,B,B-2039,4745/3,5110/3,5110/3,1.160986634130109256280849646,1,1.160986634130109256280849646,planned
B-2039-10,B,B-2039,19345/12,6935/4,6935/4,1.160986634130109256280849646,1,1.160986634130109256280849646,planned
B-2039-11,B,B-2039,3285/2,10585/6,10585/6,1.160986634130109256280849646,1,1.160986634130109256280849646,planned
B-2039-12,B,B-2039,20075/12,21535/12,21535/12,1.16098663413010925628084964,1,1.16098663413010925628084964,planned
A-2040-01,A,A-2040,1460,1825,1825,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-02,A,A-2040,17885/12,22265/12,22265/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-03,A,A-2040,9125/6,11315/6,11315/6,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-04,A,A-2040,6205/4,7665/4,7665/4,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-05,A,A-2040,4745/3,5840/3,5840/3,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-06,A,A-2040,19345/12,23725/12,23725/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-07,A,A-2040,3285/2,4015/2,4015/2,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-08,A,A-2040,20075/12,24455/12,24455/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-09,A,A-2040,5110/3,6205/3,6205/3,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-10,A,A-2040,6935/4,8395/4,8395/4,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-11,A,A-2040,10585/6,12775/6,12775/6,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-12,A,A-2040,21535/12,25915/12,25915/12,15.8333333333333333333333335,1,15.8333333333333333333333335,planned
C-2040-01,C,C-2040,5110/3,1825,1825,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-02,C,C-2040,6935/4,22265/12,22265/12,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-03,C,C-2040,10585/6,11315/6,11315/6,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-04,C,C-2040,21535/12,7665/4,7665/4,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-05,C,C-2040,1825,5840/3,5840/3,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-06,C,C-2040,22265/12,23725/12,23725/12,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-07,C,C-2040,11315/6,4015/2,4015/2,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-08,C,C-2040,7665/4,24455/12,24455/12,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-09,C,C-2040,5840/3,6205/3,6205/3,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-10,C,C-2040,23725/12,8395/4,8395/4,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-11,C,C-2040,4015/2,12775/6,12775/6,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-12,C,C-2040,24455/12,25915/12,25915/12,10.8333333333333333333333334,1,10.8333333333333333333333334,planned
B-2040-01,B,B-2040,5110/3,1825,1825,6.025294400384522951213650565,1,6.025294400384522951213650565,planned
B-2040-02,B,B-2040,6935/4,22265/12,22265/12,6.025294400384522951213650565,1,6.025294400384522951213650565,planned
B-2040-03,B,B-2040,10585/6,11315/6,11315/6,6.025294400384522951213650565,1,6.025294400384522951213650565,planned
B-2040-04,B,B-2040,21535/12,7665/4,7665/4,6.025294400384522951213650565,1,6.025294400384522951213650565,planned
B-2040-05,B,B-2040,1825,5840/3,5840/3,6.025294400384522951213650565,1,6.025294400384522951213650565,planned
B-2040-06,B,B-2040,22265/12,23725/12,23725/12,6.025294400384522951213650565,1,6.025294400384522951213650565,planned
B-2040-07,B,B-2040,11315/6,4015/2,4015/2,6.025294400384522951213650565,1,6.025294400384522951213650565,planned
B-2040-08,B,B-2040,7665/4,24455/12,24455/12,6.025294400384522951213650565,1,6.025294400384522951213650565,planned
B-2040-09,B,B-2040,5840/3,6205/3,6205/3,6.025294400384522951213650565,1,6.025294400384522951213650565,planned
B-2040-10,B,B-2040,23725/12,8395/4,8395/4,6.025294400384522951213650565,1,6.025294400384522951213650565,planned
B-2040-11,B,B-2040,4015/2,12775/6,12775/6,6.025294400384522951213650565,1,6.025294400384522951213650565,planned
B-2040-12,B,B-2040,24455/12,25915/12,25915/12,6.02529440038452295121365060,1,6.02529440038452295121365060,planned
A-2041-01,A,A-2041,1825,2190,2190,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2041-02,A,A-2041,22265/12,26645/12,26645/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2041-03,A,A-2041,11315/6,13505/6,13505/6,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2041-04,A,A-2041,7665/4,9125/4,9125/4,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2041-05,A,A-2041,5840/3,6935/3,6935/3,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2041-06,A,A-2041,23725/12,28105/12,28105/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2041-07,A,A-2041,4015/2,4745/2,4745/2,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2041-08,A,A-2041,24455/12,28835/12,28835/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2041-09,A,A-2041,6205/3,7300/3,7300/3,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2041-10,A,A-2041,8395/4,9855/4,9855/4,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2041-11,A,A-2041,12775/6,14965/6,14965/6,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2041-12,A,A-2041,25915/12,30295/12,30295/12,15.8333333333333333333333335,1,15.8333333333333333333333335,planned
C-2041-01,C,C-2041,6205/3,2190,2190,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2041-02,C,C-2041,8395/4,26645/12,26645/12,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2041-03,C,C-2041,12775/6,13505/6,13505/6,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2041-04,C,C-2041,25915/12,9125/4,9125/4,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2041-05,C,C-2041,2190,6935/3,6935/3,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2041-06,C,C-2041,26645/12,28105/12,28105/12,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2041-07,C,C-2041,13505/6,4745/2,4745/2,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2041-08,C,C-2041,9125/4,28835/12,28835/12,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2041-09,C,C-2041,6935/3,7300/3,7300/3,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2041-10,C,C-2041,28105/12,9855/4,9855/4,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2041-11,C,C-2041,4745/2,14965/6,14965/6,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2041-12,C,C-2041,28835/12,30295/12,30295/12,10.8333333333333333333333334,1,10.8333333333333333333333334,planned
X-2041-01,X,X-2041,8395/4,2190,2190,3.333333333333333333333333333,1,3.333333333333333333333333333,planned
X-2041-02,X,X-2041,12775/6,26645/12,26645/12,3.333333333333333333333333333,1,3.333333333333333333333333333,planned
X-2041-03,X,X-2041,25915/12,13505/6,13505/6,3.333333333333333333333333333,1,3.333333333333333333333333333,planned
X-2041-04,X,X-2041,2190,9125/4,9125/4,3.333333333333333333333333333,1,3.333333333333333333333333333,planned
X-2041-05,X,X-2041,26645/12,6935/3,6935/3,3.333333333333333333333333333,1,3.333333333333333333333333333,planned
X-2041-06,X,X-2041,13505/6,28105/12,28105/12,3.333333333333333333333333333,1,3.333333333333333333333333333,planned
X-2041-07,X,X-2041,9125/4,4745/2,4745/2,3.333333333333333333333333333,1,3.333333333333333333333333333,planned
X-2041-08,X,X-2041,6935/3,28835/12,28835/12,3.333333333333333333333333333,1,3.333333333333333333333333333,planned
X-2041-09,X,X-2041,28105/12,7300/3,7300/3,3.333333333333333333333333333,1,3.333333333333333333333333333,planned
X-2041-10,X,X-2041,4745/2,9855/4,9855/4,3.333333333333333333333333333,1,3.333333333333333333333333333,planned
X-2041-11,X,X-2041,28835/12,14965/6,14965/6,3.333333333333333333333333333,1,3.333333333333333333333333333,planned
X-2041-12,X,X-2041,7300/3,30295/12,30295/12,3.33333333333333333333333336,1,3.33333333333333333333333336,planned
B-2041-01,B,B-2041,6205/3,2190,2190,1.723143475126171593366979091,1,1.723143475126171593366979091,planned
B-2041-02,B,B-2041,8395/4,26645/12,26645/12,1.723143475126171593366979091,1,1.723143475126171593366979091,planned
B-2041-03,B,B-2041,12775/6,13505/6,13505/6,1.723143475126171593366979091,1,1.723143475126171593366979091,planned
B-2041-04,B,B-2041,25915/12,9125/4,9125/4,1.723143475126171593366979091,1,1.723143475126171593366979091,planned
B-2041-05,B,B-2041,2190,6935/3,6935/3,1.723143475126171593366979091,1,1.723143475126171593366979091,planned
B-2041-06,B,B-2041,26645/12,28105/12,28105/12,1.723143475126171593366979091,1,1.723143475126171593366979091,planned
B-2041-07,B,B-2041,13505/6,4745/2,4745/2,1.723143475126171593366979091,1,1.723143475126171593366979091,planned
B-2041-08,B,B-2041,9125/4,28835/12,28835/12,1.723143475126171593366979091,1,1.723143475126171593366979091,planned
B-2041-09,B,B-2041,6935/3,7300/3,7300/3,1.723143475126171593366979091,1,1.723143475126171593366979091,planned
B-2041-10,B,B-2041,28105/12,9855/4,9855/4,1.723143475126171593366979091,1,1.723143475126171593366979091,planned
B-2041-11,B,B-2041,4745/2,14965/6,14965/6,1.723143475126171593366979091,1,1.723143475126171593366979091,planned
B-2041-12,B,B-2041,28835/12,30295/12,30295/12,1.72314347512617159336697909,1,1.72314347512617159336697909,planned
